Name,Type,RA,Dec,Mag,MajAx,Constellation,CommonName
IC0010,G,0.338150,59.303778,10.35,6.76,Cas,
IC0043,G,0.706128,29.641639,13.25,1.26,And,
IC0048,G,0.726242,-8.186500,13.16,1.12,Cet,
IC0049,G,0.732258,1.850278,13.78,1.28,Cet,
IC0059,RfN,0.957947,61.143667,,10.00,Cas,
IC0063,HII,0.991344,60.911694,,10.00,Cas,
IC0064,G,0.990117,27.059056,13.96,1.03,Psc,
IC0066,G,1.009028,30.797222,14.10,1.23,Psc,
IC0077,G,1.145486,-15.420917,15.04,0.52,Cet,
IC0080 NED02,G,1.147536,-15.406306,12.90,1.50,Cet,
IC0088,G,1.242028,0.791750,18.07,0.53,Cet,
IC0093,G,1.317317,-17.060389,13.57,1.21,Cet,
IC0115,G,1.448456,19.214694,14.03,0.76,Psc,
IC0123,G,1.480961,2.446444,15.16,0.67,Cet,
IC0127,G,1.496558,-6.980056,9.20,1.69,Cet,
IC0131,HII,1.554050,30.753250,,0.30,Tri,
IC0132,HII,1.554422,30.945611,14.82,0.67,Tri,
IC0133,HII,1.554217,30.888389,18.45,0.45,Tri,
IC0134,*,1.556944,30.900667,15.98,,Tri,
IC0135,HII,1.570981,30.620083,,0.40,Tri,
IC0142,HII,1.565425,30.757806,14.20,0.50,Tri,
IC0143,HII,1.569703,30.776417,,0.30,Tri,
IC0163,G,1.820831,20.711306,13.26,1.62,Ari,
IC0166,OCl,1.873283,61.852611,11.70,7.50,Cas,
IC0167,G,1.852378,21.912806,13.26,1.60,Ari,
IC0173,G,1.932542,1.285167,14.09,0.92,Cet,
IC0178,G,1.981908,36.674694,13.28,0.94,And,
IC0179,G,2.003194,38.021333,12.56,1.12,And,
IC0184,G,1.997564,-6.840389,13.89,1.12,Cet,
IC0195,G,2.062392,14.709278,13.15,1.46,Ari,
IC0200,G,2.090733,31.175333,12.82,1.38,Tri,
IC0213,G,2.234522,16.455889,13.20,1.43,Ari,
IC0214,G,2.234886,5.173250,14.16,0.58,Cet,
IC0235,G,2.547442,20.641250,14.35,0.39,Ari,
IC0239,G,2.607744,38.969917,11.20,4.25,And,
IC0257,G,2.829289,46.976194,12.68,1.93,Per,
IC0264,G,2.813228,-0.109194,16.88,0.50,Cet,
IC0267,G,2.897292,12.849222,13.09,1.86,Ari,
IC0277,G,2.997389,2.771361,13.12,1.00,Cet,
IC0283,G,3.064017,-0.204444,17.93,0.71,Cet,
IC0284,G,3.102753,42.371917,11.59,4.29,Per,
IC0289,PN,3.172017,61.316778,13.20,0.58,Cas,
IC0292,G,3.170256,40.765667,13.47,1.19,Per,
IC0302,G,3.214242,4.707028,12.89,1.84,Cet,
IC0308,G,3.271064,41.180750,14.22,1.16,Per,
IC0310,G,3.278606,41.324972,12.71,1.50,Per,
IC0334,G,3.754744,76.638306,11.50,2.34,Cam,
IC0336,Neb,3.632511,23.363139,,,Tau,
IC0341,Neb,3.682136,21.960194,,134.90,Tau,
IC0343,G,3.668650,-18.443472,13.20,1.51,Eri,
IC0346,G,3.695739,-18.266972,12.64,1.95,Eri,
IC0349,RfN,3.772253,23.939806,,25.70,Tau,Barnard's Merope Nebula
IC0351,PN,3.792503,35.046917,11.90,0.12,Per,
IC0353,Neb,3.883631,25.848000,,181.97,Tau,
IC0354,Neb,3.899419,23.147000,,128.82,Tau,
IC0355,G,3.896183,19.973917,15.40,0.67,Tau,
IC0356,G,4.129697,69.812444,10.24,4.02,Cam,
IC0359A,RfN,4.311389,28.290000,,15.00,Tau,
IC0360,Neb,4.150714,26.131194,,180.00,Tau,
IC0361,OCl,4.314083,58.249500,11.70,7.20,Cam,
IC0387,G,4.695614,-7.086194,12.99,1.60,Eri,
IC0391,G,4.955869,78.188833,12.68,1.39,Cam,
IC0399,G,5.028892,-4.288750,14.80,0.54,Eri,
IC0405,Neb,5.274856,34.356167,,50.00,Aur,Flaming Star Nebula
IC0410,Neb,5.378333,33.366667,,40.00,Aur,
IC0414,G,5.365267,3.342028,14.40,0.60,Ori,
IC0417,HII,5.468333,34.423944,,13.00,Aur,
IC0418,PN,5.457831,-12.697278,9.44,0.20,Lep,
IC0420,Neb,5.535972,-4.504750,,6.03,Ori,
IC0423,Neb,5.556114,-0.614500,,6.00,Ori,
IC0424,Neb,5.560344,-0.413139,,2.50,Ori,
IC0426,Neb,5.608717,-0.298306,,10.00,Ori,
IC0427,Neb,5.605006,-6.616444,,,Ori,
IC0428,Neb,5.606725,-6.451556,,,Ori,
IC0429,Neb,5.638572,-7.040500,,,Ori,
IC0430,Neb,5.643325,-7.083111,14.40,10.96,Ori,
IC0431,RfN,5.670564,-1.462806,,8.00,Ori,
IC0432,RfN,5.682217,-1.507000,,10.00,Ori,
IC0434,HII,5.683578,-2.453778,,90.00,Ori,Flame Nebula
IC0435,RfN,5.716825,-2.312611,,3.98,Ori,
IC0438,G,5.883356,-17.876083,12.07,2.80,Lep,
IC0443,SNR,6.277058,22.531667,,50.00,Gem,Gem A
IC0444,RfN,6.309444,23.313333,,8.00,Gem,
IC0447,HII,6.516756,9.897444,,25.00,Mon,
IC0448,HII,6.545928,7.388639,,15.00,Mon,
IC0450,G,6.870069,74.427083,14.12,1.38,Cam,
IC0466,HII,7.144111,-4.318000,12.06,1.00,Mon,
IC0467,G,7.505108,79.872528,12.57,1.99,Cam,
IC0470,**,7.392083,46.078667,12.93,,Lyn,
IC0486,G,8.005828,26.613528,13.20,0.87,Gem,
IC0492,G,8.094072,26.168194,17.19,1.02,Cnc,
IC0497,G,8.168353,24.922083,14.26,0.78,Cnc,
IC0509,G,8.534306,24.010917,13.22,1.02,Cnc,
IC0520,G,8.895072,73.490944,11.83,2.10,Cam,
IC0529,G,9.309111,73.759333,12.30,3.21,Cam,
IC0558,G,9.750097,29.452306,13.90,0.93,Leo,
IC0588,G,10.035289,3.057694,14.25,0.90,Sex,
IC0614,G,10.447736,-3.464750,14.80,0.78,Sex,
IC0632,G,10.653275,-0.409472,14.18,0.98,Sex,
IC0633,G,10.656772,-0.389306,14.62,0.65,Sex,
IC0691,G,11.445644,59.155417,13.74,1.14,UMa,
IC0701,G,11.516856,20.468944,14.63,0.74,Leo,
IC0707,G,11.562400,21.380056,13.84,0.65,Leo,
IC0732N,G,11.766508,20.447028,15.42,0.65,Leo,
IC0742,G,11.850625,20.799722,13.93,1.07,Leo,
IC0745,G,11.903408,0.136639,13.52,0.78,Vir,
IC0749,G,11.976125,42.734028,12.28,2.13,UMa,
IC0750,G,11.981167,42.722472,11.82,2.11,UMa,
IC0751,G,11.981278,42.570333,14.39,1.10,UMa,
IC0756,G,12.049392,4.845861,17.54,1.70,Vir,
IC0764,G,12.170608,-29.736806,12.41,4.84,Hya,
IC0775,G,12.314908,12.912667,13.26,1.05,Vir,
IC0785,G,12.383911,-13.223639,14.65,1.13,Crv,
IC0786,G,12.386375,-13.204667,14.04,1.03,Crv,
IC0794,G,12.469058,12.093306,13.53,1.32,Vir,
IC0798,G,12.542614,15.415389,14.26,0.90,Com,
IC0809,G,12.702406,11.754278,13.72,0.97,Vir,
IC0813,G,12.753289,23.036139,13.42,0.94,Com,
IC0821,G,12.790600,29.787778,13.80,1.00,Com,
IC0829,G,12.874286,-15.518528,13.46,0.38,Crv,
IC0839,G,12.970847,28.125917,14.56,0.48,Com,
IC0842,G,13.010986,29.019417,13.93,1.14,Com,
IC0851,G,13.142872,21.049778,13.91,1.13,Com,
IC0853,G,13.144925,52.774278,13.57,1.03,UMa,
IC0854,G,13.163881,24.577556,14.30,0.92,Com,
IC0875,G,13.285436,57.539444,13.00,1.55,UMa,
IC0894,G,13.534672,17.048972,16.37,1.14,Com,
IC0900,G,13.578614,9.336861,13.10,1.28,Vir,
IC0903,G,13.640575,-0.227639,13.62,1.64,Vir,
IC0904,G,13.642281,0.540194,14.21,1.05,Vir,
IC0907,G,13.656392,51.051056,14.26,1.11,UMa,
IC0910,G,13.685517,23.282056,15.10,0.68,Boo,
IC0971,G,14.064664,-10.140583,12.88,2.26,Vir,
IC0972,PN,14.073864,-17.228194,13.90,0.70,Vir,
IC0974,*,14.109544,-5.492417,16.72,,Vir,
IC0983,G,14.167881,17.733833,11.96,2.32,Boo,
IC0989,G,14.247594,3.130889,13.07,0.98,Vir,
IC1029,G,14.540906,49.904611,11.29,2.78,Boo,
IC1065,G,14.822658,63.270556,13.71,0.88,Dra,
IC1076,G,14.916561,18.037333,13.69,0.91,Boo,
IC1084,G,15.020800,-7.474917,14.23,0.87,Lib,
IC1102,G,15.184708,4.293861,15.50,1.04,Vir,
IC1129,G,15.533561,68.246333,13.50,1.01,UMi,
IC1151,G,15.975650,17.441472,12.92,2.23,Se1,
IC1155,G,16.009933,15.685639,14.35,0.79,Se1,
IC1156,G,16.010378,19.723222,13.44,1.10,Her,
IC1158,G,16.026133,1.707833,13.09,1.89,Se1,
IC1162,G,16.021203,17.677833,14.68,0.72,Her,
IC1166 NED01,G,16.035811,26.329333,16.77,0.53,CrB,
IC1173,G,16.086822,17.422861,14.57,0.92,Her,
IC1178,G,16.092533,17.601444,13.92,1.34,Her,
IC1181,G,16.092736,17.593694,14.79,1.01,Her,
IC1182,G,16.093556,17.802139,14.65,0.84,Her,
IC1185,G,16.095747,17.717028,13.84,0.74,Her,
IC1186,G,16.095617,17.362167,14.69,0.78,Her,
IC1189,G,16.104119,18.182889,14.43,0.79,Her,
IC1190,G,16.097892,18.220528,14.68,1.28,Her,
IC1192,G,16.109203,17.775639,14.89,0.91,Her,
IC1193,G,16.108944,17.713861,14.38,0.78,Her,
IC1194,G,16.110931,17.761194,14.30,0.64,Her,
IC1195,G,16.111356,17.191806,14.83,0.61,Her,
IC1198,G,16.143436,12.330944,14.94,0.79,Se1,
IC1210,G,16.241708,62.536694,14.56,1.38,Dra,
IC1215,G,16.259758,68.397667,13.70,0.91,Dra,
IC1218,G,16.276972,68.202639,15.30,0.92,Dra,
IC1222,G,16.585889,46.213917,13.37,1.51,Her,
IC1231,G,16.783061,58.423167,13.20,1.88,Dra,
IC1236,G,16.974889,20.041472,13.64,1.17,Her,
IC1241,G,17.024506,63.691111,13.72,1.16,Dra,
IC1254,G,17.192614,72.402000,13.95,0.91,Dra,
IC1256,G,17.396475,26.486528,13.55,1.28,Her,
IC1262,G,17.550561,43.759611,13.65,1.64,Her,
IC1266,PN,17.759806,-46.089861,11.20,0.16,Ara,
IC1267,G,17.646081,59.373139,13.42,1.38,Dra,
IC1269,G,17.868333,21.569639,12.82,1.32,Her,
IC1271,Neb,18.086975,-24.410528,,,Sgr,
IC1274,HII,18.164175,-23.648222,,20.00,Sgr,
IC1275,Neb,18.168664,-23.761222,,,Sgr,
IC1283,HII,18.288014,-19.762222,,15.00,Sgr,
IC1284,Neb,18.294342,-19.672028,,16.98,Sgr,
IC1287,RfN,18.523803,-10.795806,,20.00,Sct,
IC1291,G,18.564603,49.278611,13.03,1.33,Dra,
IC1295,PN,18.910314,-8.827028,12.50,1.50,Sct,
IC1297,PN,19.289833,-39.613056,10.70,0.12,CrA,
IC1302,G,19.514692,35.785250,13.35,0.95,Cyg,
IC1308,HII,19.751456,-14.720250,,,Sgr,
IC1311,OCl,20.179950,41.173944,13.10,6.30,Cyg,
IC1317,G,20.387664,0.664722,13.73,0.76,Aql,
IC1318,*,20.370469,40.256694,2.23,,Cyg,gam Cyg
IC1340,SNR,20.935625,31.047861,,25.12,Cyg,
IC1364,G,21.223522,2.769722,13.41,1.07,Equ,
IC1365 NED02,G,21.231850,2.563806,15.81,1.38,Equ,
IC1368,G,21.236831,2.178000,14.30,1.36,Aqr,
IC1385,G,21.480886,-1.070111,18.25,0.59,Aqr,
IC1386,G,21.493731,-21.195694,13.12,0.97,Cap,
IC1401,G,21.783192,1.712750,13.72,1.68,Aqr,
IC1417,G,22.006003,-13.147361,14.00,1.65,Aqr,
IC1442,OCl,22.267036,53.991333,9.10,4.20,Lac,
IC1445,G,22.425092,-17.243306,12.74,1.41,Aqr,
IC1454,PN,22.706947,80.442222,14.00,0.47,Cep,
IC1459,G,22.952947,-36.462222,10.54,4.61,Gru,
IC1460,G,22.951133,4.677028,14.30,0.61,Psc,
IC1464B,G,23.053067,-8.989167,15.50,0.68,Aqr,
IC1470,HII,23.086169,60.244083,,1.80,Cep,
IC1474,G,23.214242,5.806361,13.94,1.04,Psc,
IC1481,G,23.323644,5.906167,14.40,0.73,Psc,
IC1490,G,23.986311,-4.127000,14.50,1.45,Psc,
IC1495,G,23.513261,-13.485444,13.00,1.33,Aqr,
IC1508,G,23.765297,12.061750,13.40,0.76,Peg,
IC1515,G,23.934419,-0.988528,14.40,1.31,Psc,
IC1544,G,0.354861,23.090861,14.05,1.10,And,
IC1558,G,0.596408,-25.374417,12.46,2.80,Scl,
IC1574,G,0.717728,-22.246889,13.86,1.83,Cet,
IC1575,G,0.725933,-4.117833,14.85,0.87,Cet,
IC1605,G,0.960456,-48.902667,12.94,1.68,Phe,
IC1611,OCl,0.996639,-72.332333,11.96,1.50,Tuc,
IC1612,OCl,0.999614,-72.370722,12.31,1.20,Tuc,
IC1613,G,1.079942,2.117778,9.54,18.32,Cet,
IC1616,G,1.082272,-27.429361,12.89,1.63,Scl,
IC1624,OCl,1.089400,-72.042528,12.42,0.90,Tuc,
IC1625,G,1.128503,-46.907583,12.08,1.80,Phe,
IC1626,OCl,1.103731,-73.296111,13.82,1.00,Tuc,
IC1628,G,1.146536,-28.582333,12.52,1.65,Scl,
IC1633,G,1.165439,-45.931194,11.39,2.90,Phe,
IC1637,G,1.183650,-30.438528,12.88,1.69,Scl,
IC1641,OCl,1.160886,-71.768972,14.99,0.75,Tuc,
IC1644,HII,1.153614,-73.194111,11.70,0.80,Tuc,
IC1645,G,1.207594,15.750083,14.40,0.86,Psc,
IC1646,G,1.212175,15.707806,15.10,0.65,Psc,
IC1650,G,1.205303,-50.401722,13.64,1.32,Phe,
IC1655,OCl,1.198361,-71.330611,14.00,1.70,Tuc,
IC1660,OCl,1.210464,-71.761750,13.51,1.10,Tuc,
IC1662,OCl,1.209097,-73.456750,14.03,1.20,Tuc,
IC1696,G,1.414544,-1.617056,13.61,0.83,Cet,
IC1727,G,1.791636,27.333361,11.57,6.52,Tri,
IC1728,G,1.795692,-33.601500,13.35,1.29,For,
IC1729,G,1.798683,-26.892139,12.53,2.22,For,
IC1733,G,1.845247,33.082028,13.01,1.54,Tri,
IC1734,G,1.821403,-32.742611,12.86,1.63,For,
IC1747,PN,1.959925,63.321778,12.00,0.22,Cas,
IC1768,G,2.013853,-25.026694,14.80,1.45,For,
IC1774,G,2.066389,15.318056,13.61,1.41,Ari,
IC1783,G,2.168369,-32.939861,12.48,1.98,For,
IC1784,G,2.270219,32.649500,13.14,1.40,Tri,
IC1788,G,2.263878,-31.201000,12.37,2.53,For,
IC1795,HII,2.442211,62.041639,,12.00,Cas,
IC1796,G,2.379811,-41.371083,13.67,1.07,Phe,
IC1801,G,2.470208,19.583333,13.98,1.18,Ari,
IC1802,G,2.487217,23.082694,13.37,0.98,Ari,
IC1805,Cl+N,2.544864,61.456889,6.50,60.00,Cas,
IC1812,G,2.492161,-42.811361,12.21,2.08,Eri,
IC1816,G,2.530833,-36.672056,14.26,1.26,For,
IC1823,G,2.643606,32.069694,13.28,1.38,Tri,
IC1826,G,2.650986,-27.443139,12.76,2.06,For,
IC1831,Neb,2.732333,62.411639,,120.23,Cas,
IC1845,**,2.732472,-27.968917,10.17,,For,
IC1848,Cl+N,2.852942,60.402472,6.50,40.00,Cas,
IC1851,*,2.862756,58.314306,6.44,,Cas,
IC1853,G,2.801186,-13.993111,14.36,1.39,Eri,
IC1854,G,2.822422,19.303917,14.81,0.52,Ari,
IC1859,G,2.817756,-31.172500,14.30,1.30,For,
IC1860,G,2.826031,-31.189111,12.59,2.64,For,
IC1864,G,2.894253,-34.197639,12.72,1.30,For,
IC1867,G,2.931175,9.311833,14.60,1.52,Cet,
IC1871,HII,2.956053,60.672361,,4.00,Cas,
IC1875,G,3.065733,-39.440417,12.55,1.57,For,
IC1876,G,3.075636,-27.460500,14.12,1.16,For,
IC1895,G,3.160061,-25.253583,13.29,1.40,For,
IC1900,G,3.265342,37.154111,13.86,0.83,Per,
IC1901,G,3.267392,37.112444,16.76,0.91,Per,
IC1908,G,3.251472,-54.819972,14.08,1.23,Hor,
IC1914,G,3.323678,-49.599722,13.04,1.95,Hor,
IC1929,G,3.423847,-51.267194,14.16,0.94,Hor,
IC1932,G,3.431675,-51.343167,14.59,0.94,Hor,
IC1933,G,3.427747,-52.785500,12.57,2.27,Hor,
IC1935,G,3.437028,-50.010444,14.26,1.00,Hor,
IC1945,G,3.487933,-52.627167,15.31,0.81,Hor,
IC1946,G,3.489497,-52.619333,14.44,0.91,Hor,
IC1947,G,3.509117,-50.338528,14.78,0.58,Hor,
IC1949,G,3.514672,-47.979250,13.15,1.18,Hor,
IC1950,G,3.517922,-50.433417,14.47,1.56,Hor,
IC1953,G,3.561631,-21.478639,11.96,2.26,Eri,
IC1954,G,3.525386,-51.904833,11.58,2.99,Hor,
IC1959,G,3.553497,-50.414250,12.83,3.05,Hor,
IC1965,G,3.553067,-56.554083,15.09,0.96,Ret,
IC1969,G,3.603850,-45.179611,14.88,1.32,Hor,
IC1970,G,3.608756,-43.956833,12.44,2.99,Hor,
IC1986,G,3.676431,-45.355806,14.63,1.27,Hor,
IC1990,Neb,3.787175,24.333889,,,Tau,
IC1993,G,3.784669,-33.709861,11.90,2.81,For,
IC1995,Neb,3.838483,25.580778,,2.00,Tau,
IC1997,G,3.747750,-59.137667,13.47,1.01,Ret,
IC1999,G,3.795233,-56.952083,15.08,0.79,Ret,
IC2000,G,3.818817,-48.858194,12.38,4.88,Hor,
IC2003,PN,3.939453,33.874861,11.40,0.14,Per,
IC2006,G,3.907903,-35.967139,11.34,2.36,Eri,
IC2010,G,3.866119,-59.929361,13.71,1.19,Ret,
IC2018,G,3.965147,-52.781111,14.78,0.79,Dor,
IC2025,G,4.006439,-53.065611,15.30,1.16,Ret,
IC2028,G,4.021731,-52.707444,14.22,0.86,Dor,
IC2032,G,4.117511,-55.323833,14.73,1.12,Dor,
IC2035,G,4.150519,-45.517528,11.75,1.41,Hor,
IC2038,G,4.148264,-55.989556,14.68,1.85,Dor,
IC2039,G,4.150658,-56.011694,14.26,1.09,Dor,
IC2042,*,4.195350,-47.270083,10.94,,Hor,
IC2043,G,4.185958,-53.686639,14.51,1.43,Dor,
IC2049,G,4.201189,-58.557000,14.74,1.06,Ret,
IC2050,G,4.232258,-53.475361,13.80,1.17,Dor,
IC2051,G,3.866897,-83.830694,11.23,2.86,Men,
IC2056,G,4.273483,-60.206806,11.87,1.85,Ret,
IC2060,G,4.298156,-56.616250,13.91,1.25,Ret,
IC2067,Neb,4.514175,35.446167,11.49,,Per,
IC2073,G,4.442733,-53.187333,13.72,1.43,Dor,
IC2079,G,4.475228,-53.737917,14.00,1.40,Dor,
IC2081,G,4.483583,-53.613694,13.27,1.00,Dor,
IC2082 NED01,G,4.485614,-53.827944,12.79,1.23,Dor,
IC2082 NED02,G,4.485283,-53.826694,13.77,1.02,Dor,
IC2085,G,4.523400,-54.416833,13.18,2.45,Dor,
IC2087,Neb,4.666658,25.742222,,4.00,Tau,
IC2088,Neb,4.517933,26.607028,,,Tau,
IC2105,Cl+N,4.824072,-69.200917,11.30,0.65,Dor,
IC2115,*,4.952422,-66.390194,11.27,,Dor,
IC2116,HII,4.954517,-66.389028,14.21,0.60,Dor,
IC2128,Cl+N,5.378936,-68.061083,11.10,4.80,Dor,
IC2134,GCl,5.384956,-75.446833,13.94,1.40,Men,
IC2140,GCl,5.556086,-75.375361,13.48,2.30,Men,
IC2144,HII,5.837192,23.872417,,1.00,Tau,
IC2145,Neb,5.673542,-69.670306,12.00,0.19,Dor,
IC2146,GCl,5.629703,-74.783194,12.41,3.30,Men,
IC2148,GCl,5.653294,-75.562444,14.23,1.30,Men,
IC2149,PN,5.939969,46.104778,10.78,0.14,Aur,
IC2150,G,5.855156,-38.320472,12.94,2.90,Col,
IC2157,OCl,6.079883,24.071028,8.40,2.70,Gem,
IC2159,Neb,6.166006,20.431389,,,Ori,
IC2160,G,5.924600,-76.920250,13.11,1.80,Men,
IC2161,GCl,5.956906,-75.139472,14.24,1.60,Men,
IC2162,HII,6.217972,17.980083,,4.00,Ori,
IC2163,G,6.274439,-21.375861,11.11,3.37,CMa,
IC2165,PN,6.361861,-12.987222,10.50,0.15,CMa,
IC2166,G,6.448789,59.080083,12.45,2.20,Lyn,
IC2174,G,7.151558,75.353028,13.55,0.78,Cam,
IC2177,RfN,7.076919,-10.471056,,20.00,Mon,
IC2179,G,7.258975,64.926194,12.51,0.85,Cam,
IC2200,G,7.471531,-62.352917,13.16,1.33,Car,
IC2202,G,7.465206,-67.574222,13.60,2.16,Vol,
IC2204,G,7.688361,34.232167,16.26,0.89,Gem,
IC2206,*,7.763997,-34.330167,10.50,,Pup,
IC2209,G,7.937281,60.304083,13.80,0.84,Cam,
IC2220,RfN,7.947486,-59.125778,,5.00,Car,Toby Jug Nebula
IC2226,G,8.103117,12.543500,13.43,1.05,Cnc,
IC2227,G,8.118661,36.233472,14.19,1.11,Lyn,
IC2233,G,8.233031,45.742139,12.61,2.88,Lyn,
IC2281,*,8.315042,18.909111,12.29,,Cnc,
IC2282,G,8.320981,24.792639,13.93,0.88,Cnc,
IC2293,G,8.325586,21.394306,14.37,0.89,Cnc,
IC2311,G,8.312772,-25.369750,11.52,2.14,Pup,
IC2338,G,8.392408,21.338083,14.75,0.55,Cnc,
IC2339,G,8.392836,21.347639,14.01,0.89,Cnc,
IC2348,G,8.405625,20.533250,14.98,0.66,Cnc,
IC2367,G,8.402800,-18.775556,12.05,2.45,Pup,
IC2373,G,8.446939,20.364833,14.88,0.59,Cnc,
IC2374,G,8.472817,30.443194,15.26,0.53,Cnc,
IC2376,G,8.473925,30.407694,14.58,0.89,Cnc,
IC2378,G,8.475458,30.431333,13.23,1.31,Cnc,
IC2380,G,8.478858,30.404528,14.15,0.80,Cnc,
IC2383,G,8.494819,30.687972,14.45,0.61,Cnc,
IC2389,G,8.799381,73.539194,13.32,1.30,Cam,
IC2391,OCl,8.675522,-53.035472,2.50,29.10,Vel,omi Vel Cluster
IC2395,OCl,8.708364,-48.150556,4.60,6.00,Vel,
IC2404,G,8.802903,29.491361,14.75,0.76,Cnc,
IC2417,*,8.852267,18.624917,14.50,,Cnc,
IC2421,G,8.906000,32.680861,13.31,1.41,Cnc,
IC2429,G,9.061814,29.296000,14.61,0.59,Cnc,
IC2431 NED02,G,9.076311,14.595778,14.04,0.60,Cnc,Browning
IC2437,G,9.092531,-19.207111,12.92,1.79,Hya,
IC2439,G,9.144017,32.592944,16.06,1.40,Cnc,
IC2443,G,9.191914,28.826583,14.21,0.66,Cnc,
IC2446,G,9.225383,28.951750,13.64,1.49,Cnc,
IC2448,PN,9.118406,-69.941833,10.40,0.15,Car,
IC2469,G,9.383628,-32.449750,11.09,5.79,Pyx,
IC2477,G,9.471619,29.706056,14.65,0.60,Leo,
IC2488,OCl,9.460619,-57.006944,7.40,7.20,Vel,
IC2501,PN,9.646439,-60.091861,10.40,0.03,Car,
IC2522,G,9.919156,-33.137139,12.00,2.30,Ant,
IC2531,G,9.998825,-29.616972,12.22,6.55,Ant,
IC2533,G,10.008797,-31.245000,11.97,2.04,Ant,
IC2537,G,10.064414,-27.570861,12.22,2.61,Ant,
IC2552,G,10.179483,-34.844694,12.06,1.87,Ant,
IC2553,PN,10.155797,-62.613694,10.30,0.15,Car,
IC2554,G,10.147378,-67.030861,11.70,3.31,Car,
IC2558,G,10.245594,-34.338722,13.74,1.01,Ant,
IC2560,G,10.271867,-33.563806,12.06,3.55,Ant,
IC2574,G,10.473189,68.412139,10.46,12.91,UMa,Coddington's Nebula
IC2580,G,10.471661,-31.518028,12.72,2.05,Ant,
IC2581,OCl,10.458097,-57.617306,4.30,6.00,Car,
IC2582,G,10.486389,-30.342500,12.91,1.29,Ant,
IC2584,G,10.497636,-34.911639,12.67,1.44,Ant,
IC2586,G,10.517333,-28.716639,12.52,1.53,Hya,
IC2587,G,10.516556,-34.562944,12.35,1.98,Ant,
IC2588,G,10.530594,-30.384528,12.53,1.65,Ant,
IC2597,G,10.629847,-27.081694,11.68,2.62,Hya,
IC2599,HII,10.624192,-58.733389,,20.00,Car,
IC2620,G,11.039986,38.505028,14.22,1.04,UMa,
IC2621,PN,11.005553,-65.249361,11.20,0.08,Car,
IC2623,G,11.064156,-20.093056,13.50,1.06,Crt,
IC2627,G,11.164831,-23.725944,12.00,2.40,Crt,
IC2631,Neb,11.164664,-76.614306,,,Cha,
IC2637,G,11.230486,9.586306,14.17,0.97,Leo,
IC2714,OCl,11.290931,-62.725111,8.20,7.20,Car,
IC2744,G,11.361808,34.362806,14.77,1.12,UMa,
IC2764,G,11.451397,-28.980222,12.26,2.20,Hya,
IC2872,Neb,11.468897,-62.988944,,15.14,Cen,
IC2921,G,11.547022,10.296472,16.94,0.59,Leo,
IC2947,G,11.625269,31.362333,14.21,0.75,UMa,
IC2951,G,11.723489,19.749806,13.57,1.54,Leo,
IC2955,G,11.751086,19.620611,14.19,0.38,Leo,
IC2966,RfN,11.837097,-64.872944,,3.00,Mus,
IC2977,G,11.920739,-37.696306,12.24,2.14,Cen,
IC2995,G,12.096364,-27.940139,12.57,3.37,Hya,
IC3010,G,12.132614,-30.339472,12.22,2.09,Hya,
IC3056,G,12.243594,12.811861,14.84,1.30,Vir,
IC3059,G,12.248617,13.460528,14.27,1.69,Com,
IC3061,G,12.251233,14.028972,13.61,2.22,Com,
IC3078,G,12.266678,12.687306,15.70,0.58,Vir,
IC3081,G,12.269183,12.691306,15.00,0.77,Vir,
IC3103,*,12.291236,9.360444,14.56,,Vir,
IC3123,*,12.307664,8.064917,7.26,,Vir,
IC3152,G,12.326664,-26.145500,12.43,1.66,Hya,
IC3186,G,12.348856,24.668583,14.44,0.53,Com,
IC3222,G,12.372075,28.831583,15.10,0.59,Com,
IC3253,G,12.395894,-34.622194,12.12,3.02,Cen,
IC3258,G,12.395686,12.478333,13.30,1.35,Vir,
IC3259,G,12.396811,7.186833,13.52,1.64,Vir,
IC3263,G,12.397386,28.199500,14.40,0.60,Com,
IC3267,G,12.401536,7.041278,13.42,1.21,Vir,
IC3303,G,12.420889,12.714611,14.37,0.95,Vir,
IC3308,G,12.421725,26.715111,14.96,0.58,Com,
IC3318,*,12.430514,9.762806,11.44,,Vir,
IC3329,HII,12.432200,27.564111,,,Com,
IC3333,*,12.435769,13.132944,14.80,,Vir,
IC3344,G,12.442331,13.578778,14.91,0.80,Com,
IC3349,G,12.446406,12.453972,14.08,0.90,Vir,
IC3350,**,12.446231,9.442611,12.68,,Vir,
IC3355,G,12.447539,13.175722,15.06,1.09,Vir,
IC3358,G,12.448428,11.663972,13.61,1.05,Vir,
IC3363,G,12.450853,12.560806,14.84,0.97,Vir,
IC3369,G,12.454706,16.024472,14.03,0.81,Com,
IC3370,G,12.460369,-39.337778,11.18,3.12,Cen,
IC3381,G,12.470800,11.789833,13.48,1.19,Vir,
IC3383,G,12.470089,10.297667,15.18,0.78,Vir,
IC3386,G,12.473244,13.195750,15.55,0.81,Vir,
IC3388,G,12.474461,12.823667,14.80,0.74,Vir,
IC3393,G,12.478253,12.915917,14.32,1.10,Vir,
IC3400,*,12.484139,9.406167,11.50,,Vir,
IC3402,G,12.483144,28.861944,15.16,1.17,Com,
IC3408,*,12.487719,11.875889,10.87,,Vir,
IC3426,*,12.500406,13.598167,14.90,,Com,
IC3437,G,12.512753,11.343194,15.02,0.61,Vir,
IC3441,G,12.517894,28.852694,15.11,0.64,Com,
IC3442,G,12.522275,14.115194,13.80,0.94,Com,
