id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
48667,48806,86634,3948,,,,9.954253,-64.48935,145.7726,-134.04,86.81,45.0,6.59,0.772,K0/K1III,1.122,-53.990159,32.039985,-131.5609,-0.00001632,0.00011983,-0.00001512,2.6060172698627473,-1.125551494415885,-0.0000006498442574,0.000000420866756,,,Car,1,48667,,42.77598314820376,,,
48691,48830,86371,,,,,9.961021,-16.522133,78.4314,8.84,-30.1,0.0,6.62,2.148,F0V,0.314,-64.731969,38.259037,-22.30477,0.00000109,-0.00000455,-0.00001097,2.607789089003382,-0.2883656238780238,0.0000000428575294,-0.000000145928917,,,Hya,1,48691,,12.044811285731752,V416,6.653,6.563
48693,48833,86146,3928,GJ 3574,19    LMi,,9.96141,41.055633,28.1452,-116.94,-26.26,-8.9,5.11,2.863,F6Vs,0.481,-18.271887,10.796902,18.485477,0.000012,0.00001144,-0.00000868,2.6078910552652173,0.71655598101937,-0.000000566941118,-0.000000127312072,,19,LMi,1,48693,,6.2344766110500585,,,
48695,48835,86523,3943,,,,9.961833,-48.414075,549.4505,-9.34,-1.84,9.0,6.06,-2.64,B3V,-0.127,-313.996227,185.493569,-410.967695,0.00001055,0.00002266,-0.00001014,2.6080018837860197,-0.8449850080549962,-0.0000000452815978,-0.000000008920571,,,Vel,1,48695,,990.8319448927685,,,
48699,48839,86341,,,,,9.962195,-1.94175,106.7236,8.89,8.5,0.0,6.43,1.289,G5,0.7,-91.839931,54.242763,-3.616163,-0.00000247,-0.00000388,0.0000044,2.6080966351244417,-0.0338899344198325,0.0000000430999362,0.000000041209162,,,Sex,1,48699,,26.570516703550716,,,
48722,48861,86166,3929,,,,9.96579,45.414298,121.2121,6.43,-34.11,5.0,6.34,0.922,K0III,1.096,-73.304341,43.202208,86.32744,-0.00001731,0.00000582,-0.00001043,2.609037746768297,0.7926290190129724,0.0000000311735197,-0.000000165369946,,,UMa,1,48722,,37.25632384666037,,,
48733,48873,86703,,,,,9.968658,-62.585358,246.9136,-29.28,23.52,0.0,6.87,-0.093,G5/G6III,0.933,-97.984808,57.648882,-219.184648,-0.00000377,0.00004288,0.00001296,2.6097884629073502,-1.0923205592534513,-0.0000001419534457,0.000000114028177,,,Car,1,48733,,94.8855326727801,,,
48735,48876,86369,3938,,,,9.968786,8.313979,137.931,17.59,-27.03,-19.0,6.05,0.352,K3III,1.357,-117.634649,69.204202,19.94447,0.00000836,-0.00001856,-0.00002069,2.6098221651888562,0.14510630535505126,0.0000000852787264,-0.000000131045137,,,Leo,1,48735,,62.97961479295171,,,
48743,48883,86360,3937,,27Nu  Leo,,9.970382,12.4448,153.1394,-25.28,-16.07,14.0,5.26,-0.665,B9IV,-0.035,-128.922972,75.772613,33.001404,-0.00000476,0.00002457,-0.00000856,2.610239969592139,0.21720273929136752,-0.0000001225608984,-0.000000077909558,Nu,27,Leo,1,48743,,160.69412530128773,,,
48744,48884,86463,,,,,9.970553,-25.131117,228.833,-17.25,1.95,0.0,6.77,-0.028,A1/A2IV,0.069,-178.611702,104.965697,-97.183353,0.0000089,0.00001696,0.00000196,2.610284753234351,-0.4386207312786725,-0.0000000836303599,0.000000009453866,,,Hya,1,48744,,89.37169608501976,,,
48753,48893,85841,3918,,,,9.973019,72.879509,110.4972,-69.92,-36.52,4.0,5.86,0.643,K3III:,1.155,-28.054728,16.462982,105.60086,0.00000179,0.00004237,-0.00000185,2.6109303149099023,1.271987390777885,-0.0000003389817254,-0.000000177053956,,,UMa,1,48753,,48.17259035591632,,,
48755,48895,86358,3936,,,,9.973902,27.758999,74.2942,-116.6,-28.35,36.0,6.48,2.125,F3V,0.362,-56.710288,33.260428,34.602935,-0.00001096,0.00005511,0.00000811,2.6111614536884242,0.4844859373590675,-0.0000005652927515,-0.000000137444678,,,Leo,1,48755,,12.30268770812381,HN,6.496,6.426
48765,48905,86129,,,,,9.976159,58.951857,258.3979,-9.27,-43.26,0.0,6.72,-0.341,K2,1.312,-114.997727,67.354535,221.378327,-0.00003419,0.00003348,-0.00002795,2.6117522227555034,1.0289040088590176,-0.0000000449422282,-0.000000209730398,,,UMa,1,48765,,119.23396878859664,,,
48777,48917,86274,,,,,9.979011,50.125156,214.1328,-20.63,-17.04,0.0,6.7,0.047,B9IV,-0.059,-118.511781,69.293959,164.335514,-0.00000091,0.00002534,-0.00001134,2.6124988508507045,0.8748490181428038,-0.0000001000170623,-0.000000082612251,,,UMa,1,48777,,83.4065197408663,,,
48786,48926,86629,3947,,Eta Ant,,9.981191,-35.890973,33.3111,-89.59,-16.27,30.0,5.23,2.617,A8IV,0.3,-23.304405,13.608277,-19.528614,-0.00001284,0.00002425,-0.00002012,2.6130697014849567,-0.6264156431928688,-0.0000004343445764,-0.000000078879185,Eta,,Ant,1,48786,,7.819878403894963,,,
48802,48942,86868,,,,,9.984897,-63.345314,169.2047,21.13,-39.47,0.0,6.68,0.538,G8IV,0.908,-65.587125,38.213206,-151.222718,0.00001628,-0.00002954,-0.00001452,2.6140399983598934,-1.1055842913646412,0.0000001024411307,-0.000000191355959,,,Car,1,48802,,53.06400191947747,,,
48803,48943,86612,3946,,,,9.985085,-23.95077,244.4988,-23.22,5.3,15.0,6.11,-0.831,B5V,-0.101,-193.072396,112.477904,-99.254723,-0.00000046,0.00003212,-0.00000049,2.6140891099798043,-0.4180198001676563,-0.0000001125737366,0.000000025695125,,,Hya,1,48803,,187.24058959867978,,,
48824,48964,86626,,,,,9.988533,-20.35679,226.2443,-19.96,-8.19,0.0,6.7,-0.073,K3/K4III,1.46,-183.376993,106.608063,-78.702494,0.0000137,0.00001736,-0.00000842,2.614991801272907,-0.3552930104296,-0.0000000967688106,-0.00000003970624,,,Hya,1,48824,,93.15367652385743,,,
48835,48975,86754,,,,,9.990615,-44.955449,216.9197,-9.74,-4.75,35.0,6.72,0.039,B8/B9V,-0.059,-132.75008,77.078852,-153.2663,-0.00001371,0.0000198,-0.00002883,2.6155367648175405,-0.7846206095006787,-0.0000000472208525,-0.000000023028649,,,Vel,1,48835,,84.0233513907692,,,
